"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","6600000","12600000","12000000","59500000","51400000","49300000","36500000","35200000","28300000","31529629.6296296","26303703.7037037","28192592.5925926","29144444.4444444","33425925.9259259","55203703.7037037","75007407.4074074","62077777.7777778","44448148.1481481","53144444.4444444","38033333.3333333","37874074.0740741","36433333.3333333","37875585.1851852","52353966.6666667","44649629.6296296","33639382.2222222","44725100.3703704","57061044.4444444","82670221.4814815","73995931.1111111","59283601.8518519","65385681.1111111","50741039.6296296","45715381.1111111","56150986.2962963","59042074.0740741","64197195.5555556","98707946.4701852","67572501.5259259","50060382.7148148","37177841.7403293","42970058.4666667","50071207.3064344","34439129.7478433","36555555.5555556",
"Australia","AUS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37237292830.3793","39732496801.3425","42447458920.6395","42915586221.0808","42716537707.0093","47436944946.5434","53307054295.3491","60515586486.3013","64969123660.5911","55848921246.0652","56029835314.3814","64039984645.4577","63666859385.98","65090759266.5292","70510644518.6849","87128030618.7002","106941616296.545","124640948584.018","142512505539.395","188946626618.983","154778034177.392","213809673280.712","271925907371.409","258389569714.081","254151549253.004","240655811679.605","188212275427.047","192876229205.848","231536493449.106","257957671511.957","271522330125.413","251417526457.062","345320392673.652",
"Austria","AUT","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","114048373178.307","129502213823.209","156813049415.62","172808455482.506","131816675706.728","145030989197.691","170267533264.846","160181602087.719","164299110366.931","167467837968.342","143325051410.671","145575180209.778","158250919996.696","176297699854.725","171080437193.775","159975862987.225","198599243013.203",
"Azerbaijan","AZE","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","612343000","643669000","808257000","677751000","1025231000","1858335000","2078931000","2295484000","2611091000","3586852000","7398064000","12749075000","20899798000","30220553000","20658360000","25741126000","33996343000","31877133000","31781146000","28259658000","15586052000","13210511000","15152059000","20793769000","19868261000","12588158000","21692281000",
"Burundi","BDI","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","113645826.213411","129139529.638823","98337836.1791411","124356280.49432","93245798.3193275","72750983.5455325","92957742.5991129","76955327.8242556","73861108.8228025","80653045.0700044","112889502.817733","40413326.873954","87472476.5326226","64030789.9032047","54983253.8538316","49052598.9583815","39154897.9149439","31015982.6448049","37528126.2123367","48482605.1412481","60801764.337049","58676450.910458","58836291.4957643","69648172.7600437","68414018.2832445","101236293.907907","123982004.747279","134698608.194335","94050454.7162038","131793726.805257","120838349.384343","124686434.805031","172637712.507699","180189335.845191","","","",
"Belgium","BEL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","156715081769.909","172260062969.221","207354454052.02","227937060847.95","246975529406.12","287722057568.48","315455392188.023","241722276204.907","271416529007.791","323936738329.023","300843027834.936","312714354329.577","310964264830.671","250722110614.369","269061087009.515","300372889795.068","327108275999.094","317952098758.086","296348770970.795","378158477875.902",
"Benin","BEN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","92985317.7325051","116096604.35926","85858788.7124043","129062359.379914","125562881.330109","132906080.610812","163953393.086272","388037523.850763","135356523.604387","132297279.825646","223820821.736699","297821122.828435","308686623.308397","366344777.221883","190194187.578316","187904202.167233","237493803.31485","373533212.798458","345078690.541192","393479252.084553","397904595.779931","419936213.605216","522869180.501224","424023277.085973","414271319.345114","421600058.373024","393306762.291777","373840199.82531","449946156.535667","542039308.700978","569568439.232025","578343031.80628","736112437.205128","1048143874.18628","1287372077.71432","1229494122.82181","1282783670.83005","1252444989.30808","1442539724.86132","1982438622.57512","2566617492.68619","2392374854.60175","2835518188.30016","2980590514.4966","3344316327.72822","3056477195.61364","2995822076.06079","",
"Burkina Faso","BFA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","481050691.591492","607701814.13613","655639140.925876","861096332.561386","903791077.876604","1592528572.29971","2402090824.7171","2868098757.58934","2663142643.72373","2759035496.93939","2364117632.93816","2828797023.50057","3250281394.88532","3954237905.00671","3927770511.61445","4846982739.9002","",
"Bangladesh","BGD","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","399293223.918071","476434798.670093","549261812.820154","655590632.947201","793230497.814336","790466640.274846","768435438.547355","723946923.529866","931742139.013261","999457038.627625","879997897.832679","1076878928.04765","1291023745.75444","1304772234.27332","1672401690.28248","1688658600.65177","2097866552.17654","2544671068.93269","2934413942.29779","3733288293.67246","4008737692.99452","4839709274.92482","5140892902.68629","5457697104.97811","6398441702.82782","6083646028.93574","5989425301.43919","6814326705.70285","7977826434.27744","9054546739.81249","11233798031.1265","12137743126.3536","15298332386.3006","15051721757.0365","19209407428.1808","24537200415.0624","24904204337.9242","28638191700.163","29924488670.0178","31736035719.1971","34122050869.9339","35300765072.6353","38681904956.1401","38747293729.4974","32456147196.7469","41908422732.2116",
"Bulgaria","BGR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","8091000000","8052000000","7894000000","8829000000","9671000000","10313000000","8862000000","10297000000","9283000000","8268000000","6113000000","3737000000","3956400000","3726500000","3935100000","5345000000","4890200000","3358500000","4193499000","4006367182","4824629175","5105025671.86023","5352471318.93748","7069157198.63983","9921386892.70111","11790949972.7712","15154046460.0447","19533494152.4806","22503649094.5853","16379999293.8753","18741520000","26566780000","25263630000","28171460000","27891560000","24301220000","25549570000","30498370000","32721830000","32591960000","31160920000","40647310000",
"Bahrain","BHR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","1203034137.04939","1517950623.04551","1848856317.07028","1891840742.69204","2499099233.8515","3433154361.28381","4177127670.68385","3694973414.08238","3119414901.91334","3203989365.25265","2896808510.6383","2199468085.10638","2429521276.59574","2411436170.21277","2831117021.2766","3760638297.87234","3513297872.34043","3465425531.91489","3723404362.59808","3617021613.28659","4114362021.28252","4702128066.00841","4382979131.39433","3270213092.10902","4362766199.17809","6194946808.51064","5575797872.34043","5795212765.95745","6631382978.72341","7558244680.85106","10242021276.5957","12200000000","13633510638.2979","17315691489.3617","11873670212.766","13647074468.0851","19650265957.4468","23076595744.6809","25602393617.0213","23497872340.4255","16540425531.9149","12784574468.0851","15376063829.7872","18043617021.2766","","","",
"Bahamas, The","BHS","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","227500000","201900000","224400000","260700000","377100000","332100000","316900000","332900000","353800000","370500000","335300000","324800000","310800000","221000000","283500000","229400000","216600000","192200000","198500000","225400000","273300000","295000000","362900000","406800000","464800000","416900000","422066878.45","426530000","477460000","549132570","703540000","801874138.25","955822000","710680000","702435000","833539000","984017000","954914000","833944931.65","520531829.165","481397433.12","570600436.5375","641734133.8575","695323347.2775","393294916.486716","609469824.184099",
"Bosnia and Herzegovina","BIH","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","663834835.092671","831757777.890321","1129815179.29108","1134207360.42988","1109709444.74978","1477486792.16791","2086675260.92868","2555319693.15569","3381442075.38503","2486359677.42839","3134155039.11924","2685925194.0021","3392868172.9482","4290191684.03019","3983877454.48586","4510889026.41585","4643390178.90365","4079614411.05779","4354547519.72384","5410504388.16655","6285525098.67986","5825919178.44577","5508172063.75543","7673020642.88145",
"Belarus","BLR","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1970100000","2510000000","4803000000","5790100000","6918700000","6157400000","5645100000","6035300000","6682200000","7250600000","9177300000","13014600000","15194000000","18895800000","23309600000","31627400000","20595400000","24506100000","40927600000","45574300000","36540100000","35423300000","26164300000","23099800000","28690200000","33429800000","32333000000","28395600000","39122300000",
"Belize","BLZ","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","93200000","90150000","92600000","102850000","119400000","124400000","129200000","126100000","140600000","132000000","156464000","164552000","171270000","193400000","186160000","241914011.67","261923857.555","253941945.025","294908237.1725","300201564.5525","289916809.07","308048780.4425","408927959.72565","416264480.00267","479973484.78738","383955784.512725","475729501.242996","603581171.1075","627854152.697","608074014.06065","588687029.122125","537911604.854104","442799709.745957","457436755.062533","451249163.10216","425276780.060559","288753129.073657","423331626.96475",
"Bermuda","BMU","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25450000","25315598.6956322","23523951.86375","28668980.4097436","14684082.319868","12630185.4997087","11139986.9269742","12686934.282265","21145965.4086329","21438542.45","18962110.0133333","18710619.3055799","16661582.4527967","18015224.8396941","10760815.4258651","11569635.9964547",
"Bolivia","BOL","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","563000000","634300000","627300000","759800000","942200000","912400000","827700000","755100000","724500000","623400000","545500000","518700000","542500000","723500000","830800000","760300000","608400000","715500000","985100000","1041400000","1131990000","1090000000","1032000000","1005500000","1139092096.03","1188657425.88972","1184341415.90552","1492659721.64643","2044256550.86625","2622226566.01205","3661955400.5637","4262826733.64491","6271446254.13459","4709830000","6129300487.3046","8174835184.8045","11132827855.4158","11538700931.3342","12809705325.3417","8684018275.65134","7029946630.03064","8133837886.97646","8940200488.77685","8827819915.73656","6953243107.66611","10966024556.1571",
"Brazil","BRA","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","8492000000","9961000000","11923000000","12473000000","15244000000","20132000000","23276000000","20173000000","21898000000","27002000000","25634000000","22348000000","26210000000","33773000000","34375000000","31408000000","31619000000","35793000000","39624000000","44102000000","46506000000","47746000000","52787328532","51045291549","48197279310","55187572648","58105671219","60278560129","72883461454","96097603410","118413811544","137708800759","160540246755","198214040085","153525261683","201197085781.18","255402574913.625","241982433455.16","241511056475.31","223971304319.495","189913957044.055","184266804706.4","218000493584.13","239519559707.195","225799578379.535","210707013474.525","284011796746.51",
"Barbados","BRB","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","36062959.5713711","34572499.9827138","33464499.9832677","36548499.9817257","34061882.7833533","38500881.0015301","48741322.4674235","68042517.4128756","95281679.4476049","87988500","103439000","137298000","132388000","181750000","163650000","209400000","272950000","341850000","305000000","283400000","167150000","179450000","187300000","218900000","206650000","189850000","187550000","180100000","239800000","281200000","283850000","262312947.5","273058304.5","316141999","289184776","281013097","338434768.5","371173681.74","508125675.77","667923500.96889","713457611.36378","733410098.97015","481829277.570615","722478470.29858","832712749.948325","827800495.835795","884868469.39074","966165453.49909","939688878.519405","976754709.51","705063590.125","","","","",
"Brunei Darussalam","BRN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3643592052.84994","3708861472.36847","4423954152.72133","5068835389.31106","6240958254.77904","7626932017.95548","7691599164.02487","10697696963.4099","7171881680.89865","8799576438.04708","12376247123.2068","12881822979.7218","11835474928.6243","11111405941.3128","6125471665.4663","4811718565.24941","5474293014.59432","6470749447.40846","7209991572.39094","6535165749.07933","11001133818.5727",
"Bhutan","BTN","Goods exports (BoP, current US$)","BX.GSR.MRCH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","312020438.063882","576549816.233211","598869932.397677","517952252.775073","521649960.61734","663687111.884612","626875426.318164","544473557.696005","534675223.350861","581541423.500904","496545208.82235","554623776.920883","602753463.424206","609343526.2345","651940784.289152","719359615.509063",
